"","X","user_id","name","review_count","yelping_since","yelping_since_year","useful","funny","cool","elite","first_elite","nyears_elite","number_friends","fans","average_stars","compliment_hot","compliment_cool","compliment_more","compliment_cute","compliment_profile","compliment_list","compliment_note","compliment_plain","compliment_funny","compliment_writer","compliment_photos","ntips","tips_length_med","negtips","postips","firsttip","secondtip","lasttip","compliment_count_tips","avg_rest_stars","range_long","range_lat","ntips2005","ntips2006","ntips2007","ntips2008","ntips2009","ntips2010","ntips2011","ntips2012","ntips2013","ntips2014","ntips2015","ntips2016","ntips2017","ntips2018","nreviews","review_length_med","negreviews","posreviews","stars1","stars2","stars3","stars4","stars5","firstrev","secondrev","lastrev","avg_rest_stars_rev","range_long_rev","range_lat_rev","nreviews2005","nreviews2006","nreviews2007","nreviews2008","nreviews2009","nreviews2010","nreviews2011","nreviews2012","nreviews2013","nreviews2014","nreviews2015","nreviews2016","nreviews2017","nreviews2018"
"1000",13786,"IMZ1EvgP-rad2pz9GwKwxg","Scott",3,"2010-04-04",2010,10,0,0,0,NA,0,95,1,5,0,0,0,0,0,0,0,0,0,1,0,47,56,1,46,"2011-01-15","2011-01-16","2012-06-25",1,3.74468085106383,3.18464252620001,2.73774440899999,0,0,0,0,0,0,39,8,0,0,0,0,0,0,1,289,0,1,0,0,0,0,1,"2014-02-14",NA,"2014-02-14",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"353",26064,"Me2nAVx_wLeQEZtlcbzgaw","L",172,"2010-03-30",2010,141,21,27,0,NA,0,1,3,4.11,1,0,0,0,0,0,2,1,0,1,0,2,47.5,0,2,"2016-08-02","2016-10-02","2016-10-02",0,3.75,31.1205947,1.8554182,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,194,0,1,0,0,0,0,1,"2017-02-21",NA,"2017-02-21",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1177",6760,"yTlbzP1Oe_B8EoG1W_uZ1Q","Ellen",24,"2008-09-16",2008,46,29,31,0,NA,0,10,0,4.38,3,2,0,1,0,0,2,1,2,2,0,1,54,0,1,"2018-04-25",NA,"2018-04-25",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1287,1,1,0,0,1,0,1,"2008-09-23","2008-12-13","2008-12-13",3.5,0.129863899999989,0.129416300000003,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"16",7503,"aj6bkQTIqnc2W7cMH_GCAQ","Yes, I Said It",58,"2010-10-13",2010,84,39,16,0,NA,0,6,1,2.79,0,2,0,0,0,0,4,1,2,0,1,15,74,3,12,"2010-11-04","2010-11-06","2014-08-23",0,3,0.4614677,0.156515420699996,0,0,0,0,0,5,6,2,0,2,0,0,0,0,3,546,2,1,2,0,0,0,1,"2011-06-02","2016-01-20","2018-01-19",3.5,0.126455200999999,0.156769099999998,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"1629",2539,"JYcCYNWs8Ul6ewG5kCYW4Q","Jamie",473,"2010-10-14",2010,2711,1578,1765,1,2014,5,401,44,3.28,109,199,14,0,10,0,53,102,199,70,21,119,33,18,101,"2012-05-09","2012-06-19","2018-11-11",4,3.54621848739496,0.349285800000004,0.329656100000001,0,0,0,0,0,0,0,5,9,39,22,20,10,14,75,892,1,74,8,13,25,20,9,"2012-04-03","2012-04-03","2018-08-27",3.6,0.330397942600001,0.270553500000005,0,0,0,0,0,0,0,2,2,23,20,12,7,9
"453",15390,"hl5PkZK_yMY9T_lfzoSOOQ","C",49,"2010-10-23",2010,17,0,2,0,NA,0,67,0,4.42,0,0,0,0,0,0,0,0,0,0,0,4,53,0,4,"2016-04-17","2016-08-04","2018-07-17",0,4.125,0.125353199999992,0.177482099999999,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,923,0,5,2,0,0,0,3,"2016-01-20","2016-04-15","2016-12-12",3.9,0.267856899999998,0.480056900000001,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"750",9844,"PIn0xhQbnTfnJJWrRpJaPQ","James",27,"2010-12-28",2010,32,3,7,0,NA,0,15,0,4.67,0,0,0,0,0,0,1,0,0,0,0,2,21,1,1,"2011-01-14","2011-01-21","2011-01-21",0,3.75,0.0346231461000031,0.160722946199996,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,487.5,0,2,0,0,0,1,1,"2011-08-22","2012-07-23","2012-07-23",3.75,0.142452388699994,0.000426036200003921,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"371",19106,"Po8KfIUrKDzorRnqdTmbrg","Mike",13,"2010-02-19",2010,23,1,6,0,NA,0,3,0,2.94,0,0,0,0,0,0,1,0,0,0,1,1,29,0,1,"2015-01-16",NA,"2015-01-16",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,224.5,0,2,1,1,0,0,0,"2013-12-21","2014-02-15","2014-02-15",1.75,0.0327437999999916,0.190540600000006,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"1070.1",5999,"66cm1WaLDSTgTFZIh1yrjQ","Corey",40,"2009-10-03",2009,28,19,9,0,NA,0,27,1,4.05,0,0,0,0,0,0,1,0,0,1,0,2,93.5,0,2,"2014-03-06","2017-09-26","2017-09-26",0,3,0.0564482999999996,0.139075699999999,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,367,0,5,1,0,0,1,3,"2014-01-02","2014-10-12","2016-05-30",3.6,0.104882500000002,0.283821798800005,0,0,0,0,0,0,0,0,0,3,1,1,0,0
"1002",21505,"Jo26ZfQUHHuoRkk-9u-1nA","Jas",95,"2009-10-08",2009,85,16,37,1,2014,1,179,3,4.24,4,6,0,0,0,0,2,2,6,0,0,14,13.5,3,11,"2012-06-27","2012-06-28","2012-07-03",0,3.60714285714286,0.0724029379000086,0.0779648592999962,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,551,0,1,0,0,0,1,0,"2013-12-10",NA,"2013-12-10",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1408.1",13321,"SDkerzLiAgzyjwkA9XuCfA","Erica",75,"2007-05-11",2007,162,51,85,0,NA,0,695,6,4.35,2,5,4,1,2,0,1,4,5,5,0,4,75,0,4,"2010-08-26","2014-05-21","2015-06-15",0,4.25,0.0585859528000015,0.0697557000000018,0,0,0,0,0,1,0,0,0,2,1,0,0,0,4,856,0,4,0,0,0,0,4,"2009-09-03","2013-12-15","2014-08-13",3.75,0.084861200000006,0.142813600000004,0,0,0,0,1,0,0,0,1,2,0,0,0,0
"1125",11039,"QM6BNFIUuPH_lKYf98duKQ","Kelly",15,"2007-07-05",2007,3,0,0,0,NA,0,1,0,3.27,0,0,0,0,0,0,1,0,0,0,0,1,57,0,1,"2016-09-29",NA,"2016-09-29",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,695,1,0,1,0,0,0,0,"2013-06-02",NA,"2013-06-02",3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1671.2",16921,"JKeoQ-EmxWZ13p1Qyn_uHw","Jonas",17,"2008-02-24",2008,14,1,2,0,NA,0,31,0,3.2,2,3,0,0,0,0,1,3,3,0,0,1,51,0,1,"2015-08-03",NA,"2015-08-03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,88,0,1,0,0,0,0,1,"2018-06-02",NA,"2018-06-02",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"138",10880,"UPhBSQAEE78pP11fIHhP0g","Mike",62,"2010-10-09",2010,154,45,26,0,NA,0,5,1,3,0,0,0,0,0,0,2,1,0,0,0,5,59,0,5,"2010-10-10","2010-10-24","2015-01-12",0,4,0.0515965999999963,0.145606999999998,0,0,0,0,0,2,2,0,0,0,1,0,0,0,5,558,0,5,4,0,0,0,1,"2011-06-29","2012-01-05","2018-10-11",3.3,0.1877183,0.272089762200004,0,0,0,0,0,0,1,1,0,0,1,1,0,1
"1244.1",10567,"2sf3wTdZI0Jolntxm0ixnQ","Leatherhead",71,"2010-01-09",2010,33,8,8,0,NA,0,1,2,3.74,0,0,0,0,0,0,0,1,0,1,0,5,42,0,5,"2012-02-01","2012-12-13","2014-02-27",0,3.9,3.2120175723,2.6383140426,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,159,0,3,0,0,0,2,1,"2011-01-14","2017-05-16","2018-03-03",4.33333333333333,3.3244125077,2.79656900000001,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1662.1",16022,"XL67LnAwlxY9023s7CGI8A","Nick",8,"2010-03-16",2010,3,0,3,0,NA,0,34,0,3.22,0,0,1,0,0,0,0,0,0,0,0,1,36,0,1,"2011-02-16",NA,"2011-02-16",0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,283,0,3,1,0,0,2,0,"2011-05-03","2015-01-24","2015-08-31",3.33333333333333,0.00298743819999459,0.00841731630000453,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"1320.1",24701,"GQgiwr456HZudVnvQUV5Zg","Patrick",6,"2010-08-31",2010,1,0,0,0,NA,0,11,0,2.43,0,0,0,0,0,0,0,0,0,0,0,1,54,0,1,"2013-06-14",NA,"2013-06-14",0,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,570,0,1,0,1,0,0,0,"2018-06-21",NA,"2018-06-21",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"513",4444,"tAtblebDRTiB9TkAxupncQ","Ivan",89,"2010-05-08",2010,145,46,33,1,2014,3,126,6,3.39,8,4,0,0,0,0,6,3,4,5,0,45,60,8,37,"2012-11-14","2013-12-18","2017-12-18",1,3.57777777777778,5.8807866639,1.8973070511,0,0,0,0,0,0,0,1,1,37,5,0,1,0,19,354,4,15,3,1,4,5,6,"2014-01-15","2014-05-11","2017-12-18",3.63157894736842,5.9321803,1.8869667094,0,0,0,0,0,0,0,0,0,11,3,2,3,0
"1915",9965,"KtphfjvKaP9ukXPxeXfBJg","Jesse",94,"2010-11-07",2010,73,23,27,0,NA,0,4,1,3.1,0,0,1,0,0,0,2,1,0,0,0,16,56,1,15,"2011-08-28","2013-01-05","2018-03-22",0,3.78125,0.401730100000009,0.325885899999996,0,0,0,0,0,0,1,0,5,3,1,0,5,1,3,120,0,3,0,0,0,1,2,"2014-10-28","2017-01-09","2018-02-11",4.5,3.3207924,2.6451484,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"287",24163,"19ZJTz2-MBDUkJbZSHIFcg","kelly",5,"2010-10-13",2010,5,0,0,0,NA,0,85,0,4,0,0,0,0,0,0,0,0,0,0,0,1,40,0,1,"2015-09-01",NA,"2015-09-01",0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,140.5,0,2,0,0,0,1,1,"2010-10-13","2017-07-21","2017-07-21",3.5,0.158602099999996,0.072709500000002,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"836.1",24170,"FlWVOSfv9k7FKPo4j_C1dw","chris",28,"2009-01-07",2009,31,7,11,0,NA,0,15,1,4.07,1,3,0,0,0,0,1,1,3,3,0,1,32,0,1,"2010-10-12",NA,"2010-10-12",0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1011.5,0,4,0,0,0,2,2,"2009-06-08","2009-11-13","2010-05-28",3.875,0.0490804389000061,0.0945089464999995,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"1444.1",15119,"J7paBe7nucJZnbd0UPH58A","Kevin",77,"2008-01-16",2008,160,172,79,0,NA,0,282,13,4.58,8,22,5,0,0,0,13,46,22,4,0,1,36,0,1,"2010-08-29",NA,"2010-08-29",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,772,0,1,0,0,0,0,1,"2010-08-31",NA,"2010-08-31",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1945",1677,"pDvDLpD7CiMlIebsDPCRSQ","Mike",185,"2008-11-19",2008,1005,746,753,1,2010,6,265,45,3.72,179,336,17,5,14,3,95,251,336,109,68,195,52,25,168,"2011-10-26","2011-11-28","2018-06-28",21,3.97692307692308,0.356753353300007,0.294182616299999,0,0,0,0,0,0,7,47,51,32,25,15,8,10,24,950.5,2,22,3,4,3,7,7,"2009-03-17","2009-04-23","2015-08-20",3.8125,0.233198210799998,0.259563499999999,0,0,0,0,2,9,6,1,4,1,1,0,0,0
"133",6798,"hMRG63Jhpue23U62ihcVjA","Vic",68,"2010-06-15",2010,98,39,34,0,NA,0,12,2,3.18,0,1,1,0,0,0,1,1,1,2,1,6,71.5,1,5,"2013-12-06","2015-07-15","2016-04-07",0,3.5,34.4357995052,0.979213395899997,0,0,0,0,0,0,0,0,1,0,2,3,0,0,3,269,0,3,0,0,2,1,0,"2015-06-01","2015-10-12","2016-11-26",3.83333333333333,0.0398960999999929,0.115968799999997,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"829",5785,"qnfLeoTKD45gKVoDu6ZWiw","Teddy",31,"2010-09-06",2010,47,10,16,0,NA,0,44,0,3.53,0,0,0,0,0,0,0,3,0,0,0,15,31,3,12,"2010-09-08","2010-09-11","2012-12-17",0,3.7,0.192711200000005,0.195538200000001,0,0,0,0,0,7,6,2,0,0,0,0,0,0,3,193,1,2,1,1,0,0,1,"2014-02-05","2015-06-06","2016-09-20",4.33333333333333,0.0724669263000095,0.138930381500003,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"1398",26846,"6blZjE3NMVe9VtbNbQcibA","Cassidy",11,"2010-05-20",2010,3,1,0,0,NA,0,1,1,3.91,0,0,0,0,0,0,0,0,0,0,0,1,36,0,1,"2017-11-28",NA,"2017-11-28",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,80,0,1,0,0,0,1,0,"2017-06-23",NA,"2017-06-23",3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1421",11164,"Mv6xL3S_MYClcouNMtc6VQ","Nikki",56,"2010-06-21",2010,30,2,10,0,NA,0,2,0,3.47,0,0,0,0,0,0,1,1,0,0,0,2,46,0,2,"2016-10-22","2016-10-22","2016-10-22",0,4,0.0701680000000096,0.217770000000002,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,349,3,9,3,2,0,0,7,"2016-06-17","2016-06-17","2018-05-31",3.70833333333333,0.18835521230001,0.205138500000004,0,0,0,0,0,0,0,0,0,0,0,3,6,3
"1695",25874,"V9npX9Hv1v3RPz8DCstCTA","Nick",18,"2010-09-02",2010,3,1,1,0,NA,0,1,0,3.33,0,0,0,0,0,0,0,1,0,0,0,1,75,0,1,"2013-09-10",NA,"2013-09-10",0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1536,0,1,0,0,0,0,1,"2010-09-02",NA,"2010-09-02",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"678.1",11897,"1717bIJc6zcuIY_QwpMrSw","Melissa",12,"2010-10-11",2010,22,2,4,0,NA,0,1,0,3.23,0,0,0,0,0,0,1,0,0,0,0,1,57,0,1,"2015-11-13",NA,"2015-11-13",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,615,2,2,2,0,0,1,1,"2016-09-09","2017-06-23","2017-07-21",2.75,0.191043000000008,0.187182999999997,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"11",6941,"Lhd_uuajTSBZftwHFxRvGA","Chris",29,"2008-08-05",2008,58,16,18,0,NA,0,67,0,4.03,0,2,1,0,0,0,1,1,2,0,0,2,50.5,1,1,"2011-03-15","2012-08-11","2012-08-11",0,4,0.0241355999999939,0.089778299999999,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,338,0,3,0,0,0,0,3,"2009-10-24","2012-02-05","2015-08-10",4.16666666666667,0.12805680000001,0.189985900000003,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"339",8922,"i48cHEyRBl5g9_npYIG7dA","Vickie",22,"2010-10-27",2010,19,5,10,0,NA,0,40,3,3.92,0,0,0,0,0,0,0,0,0,0,4,1,15,0,1,"2017-04-25",NA,"2017-04-25",0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,131,1,0,0,0,1,0,0,"2017-05-31",NA,"2017-05-31",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"968.1",11280,"SEZzEZ__cPHT_0OZtyPJjg","Scott",11,"2010-03-21",2010,20,4,5,0,NA,0,42,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2,13.5,0,2,"2018-03-13","2018-09-25","2018-09-25",0,4.75,0.0216221000000019,0.0188271000000029,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,354.5,0,2,0,1,1,0,0,"2018-03-13","2018-09-25","2018-09-25",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"184.1",14925,"kbzXkH-bxG966-7lgpvRLQ","Ryan",99,"2010-09-12",2010,54,31,17,0,NA,0,125,4,3.49,0,0,0,0,1,0,3,4,0,0,1,1,34,0,1,"2011-09-01",NA,"2011-09-01",0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,999,0,3,1,0,1,1,0,"2011-09-05","2011-09-15","2014-07-10",3.83333333333333,0.00538399999999228,0.00859323259999911,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"408.1",3456,"ybJkYYEBvFGVb-or4i9_oA","Rebecca",2277,"2007-05-17",2007,4504,2256,2164,1,2007,12,437,92,3.6,154,329,45,26,24,3,189,307,329,68,14,18,58.5,7,11,"2010-10-28","2010-10-28","2012-04-28",0,3.44444444444444,35.188807,4.3487720346,0,0,0,0,0,2,15,1,0,0,0,0,0,0,15,375,3,12,0,2,8,5,0,"2008-09-30","2008-09-30","2012-05-01",3.6,35.3237340358,4.3431486,0,0,0,4,2,3,5,1,0,0,0,0,0,0
"45",25911,"Xl5FG_RsbLm_-ES0iW0mCg","Jeff",19,"2009-11-21",2009,17,0,3,0,NA,0,1,0,4.21,0,0,0,0,0,0,0,0,0,0,0,1,171,0,1,"2015-01-29",NA,"2015-01-29",0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,274,0,1,0,0,0,0,1,"2016-05-04",NA,"2016-05-04",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1924.1",10138,"hjCqTsXa66bQu7egm3dQnQ","sher",18,"2009-09-10",2009,4,0,1,0,NA,0,7,0,4.25,0,0,0,0,0,0,0,1,0,0,0,6,42.5,0,6,"2016-10-23","2017-06-15","2018-05-23",0,4.33333333333333,0.104977099999999,0.0881177597000047,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,169,0,1,0,0,0,0,1,"2016-03-10",NA,"2016-03-10",3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"977.1",20453,"eehqJHzBwbK9HjhxdyMd9w","Joniene",176,"2010-11-28",2010,343,134,141,1,2016,3,423,12,3.7,1,12,1,2,0,1,8,13,12,2,2,2,27.5,0,2,"2012-03-18","2017-11-13","2017-11-13",0,4.25,0.0093435038999985,0.00824554639999775,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,240,1,0,1,0,0,0,0,"2013-03-18",NA,"2013-03-18",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"786",13818,"YGwQt2cRhQKI6DikcotVFg","Chloe",188,"2009-08-18",2009,541,211,213,1,2012,6,319,34,4.33,13,38,4,0,2,0,16,21,38,18,4,60,31,4,56,"2010-09-01","2010-09-01","2013-01-31",0,3.9,0.4131584,0.454708500000002,0,0,0,0,0,5,19,33,3,0,0,0,0,0,4,343.5,0,4,0,0,0,2,2,"2011-03-25","2011-03-25","2012-11-26",3.375,0.0410271644000062,0.294667747199995,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"92",12408,"PhrM-v2O--kPpR16YUOd1A","Eun",650,"2007-09-12",2007,1869,657,984,1,2012,3,652,70,3.65,20,54,5,1,2,1,12,70,54,17,12,6,18.5,1,5,"2012-04-26","2012-04-26","2013-06-16",0,3.58333333333333,0.0942190000000096,0.04739,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,291,0,1,0,0,1,0,0,"2017-08-24",NA,"2017-08-24",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1771",25626,"jZtieV_N7M9rzDkADwFf4Q","Anshu",7,"2009-11-05",2009,5,2,1,0,NA,0,6,1,4.14,0,0,0,0,0,0,0,1,0,0,0,1,61,1,0,"2016-07-06",NA,"2016-07-06",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,348,0,2,0,0,0,0,2,"2017-05-27","2017-05-27","2017-05-27",4,0.134874604899991,0.0863277252000003,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"916",1685,"dUVOC_2EDF0sbA392RhfoQ","Nick",94,"2009-09-21",2009,232,38,32,1,2011,2,15,0,3.28,2,2,0,1,1,0,10,3,2,3,0,2,46.5,0,2,"2016-05-27","2016-06-05","2016-06-05",0,3.5,0.21286686149999,0.0554318375999969,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,502,1,6,3,2,0,0,2,"2013-07-08","2014-10-17","2018-07-24",3.71428571428571,0.0735056000000043,0.108006000000003,0,0,0,0,0,0,0,0,1,1,1,1,1,2
"116",3651,"lEw2VL9JCDFk3R5NzahqnA","Jessica",738,"2010-08-11",2010,1274,410,643,1,2011,8,180,42,4.03,52,33,12,0,4,2,21,40,33,48,3,32,44,4,28,"2011-08-12","2011-08-12","2017-10-18",0,3.984375,1.914804,1.075912,0,0,0,0,0,0,4,10,3,5,7,1,2,0,67,382,3,64,0,4,12,32,19,"2010-08-29","2010-09-08","2017-08-23",3.87313432835821,35.1639150726,5.4096576,0,0,0,0,0,2,15,17,10,10,6,5,2,0
"335",629,"VAI4LygxcbgHctXSS63kbg","Emily",431,"2009-08-25",2009,1567,1233,820,1,2010,4,591,76,3.71,79,135,9,8,8,6,68,100,135,85,36,1,77,0,1,"2015-04-18",NA,"2015-04-18",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1354,2,19,0,5,7,6,3,"2010-06-01","2010-06-08","2014-01-01",3.64285714285714,0.330408500000004,0.320727700000006,0,0,0,0,0,2,0,8,10,1,0,0,0,0
"888.1",10740,"QH1IVaMoyrcUn3W_wr6U-g","Andy",9,"2010-12-31",2010,20,3,2,0,NA,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,3,41,0,3,"2013-06-28","2013-06-29","2013-08-22",0,3.33333333333333,0.0139292000000069,0.0159139999999951,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,509,0,1,0,1,0,0,0,"2018-07-18",NA,"2018-07-18",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1937",11080,"Z7pFsGpIyLzMTZsXjTFF1A","Daniel",584,"2010-06-08",2010,773,442,496,1,2017,2,79,27,3.6,2,30,9,0,5,2,29,27,30,7,18,89,46,8,81,"2016-10-17","2016-10-20","2018-11-15",3,3.67977528089888,0.313151599999998,0.363261199999997,0,0,0,0,0,0,0,0,0,0,0,13,38,38,27,620,1,26,0,1,9,14,3,"2016-10-27","2016-12-08","2018-10-26",3.88888888888889,0.367811799999998,0.430848326700001,0,0,0,0,0,0,0,0,0,0,0,3,5,19
"668",4843,"EWFkGmdkQ4Za9_K9KU_skg","Ben",15,"2010-07-09",2010,19,7,5,0,NA,0,308,1,1.64,0,0,0,0,0,0,0,0,0,1,0,3,55,0,3,"2011-05-14","2015-12-31","2017-02-11",0,3.83333333333333,0.208109750599988,0.342595069600002,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,288,0,4,3,1,0,0,0,"2017-10-18","2018-02-26","2018-05-21",4.25,0.122712045500009,0.106323018200001,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"1922",20081,"FvLT4kM-4Qt-9wllR9d2Cg","Jay",23,"2010-03-25",2010,11,1,1,0,NA,0,1,0,3.13,0,0,0,0,0,0,0,0,0,0,0,2,40.5,0,2,"2013-09-20","2013-10-14","2013-10-14",0,3.75,0.0990943000000044,0.0324910000000003,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,159.5,0,2,2,0,0,0,0,"2014-08-04","2018-07-09","2018-07-09",3.25,0.177591396600008,0.0562342232000006,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"318",15507,"PmiZPVJOA9X37nkYg5ct7A","K",19,"2008-10-09",2008,8,4,0,0,NA,0,31,1,3.24,1,0,0,0,0,0,1,1,0,0,0,28,68.5,1,27,"2011-10-29","2011-11-09","2018-03-24",0,3.91071428571429,0.262845100000007,0.238132827099996,0,0,0,0,0,0,2,4,3,10,5,0,0,4,2,384,0,2,0,0,1,1,0,"2010-12-31","2010-12-31","2010-12-31",4,0.0028810552000067,0.0662493529000017,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"61",25972,"4_rnTuDbYjJDmtvedxtJ1g","Michael",6,"2009-07-26",2009,11,0,2,0,NA,0,1,0,3.83,0,0,0,0,0,0,1,0,0,0,0,1,6,0,1,"2010-07-19",NA,"2010-07-19",0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,164,0,1,0,0,0,0,1,"2016-02-27",NA,"2016-02-27",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1398.1",26846,"6blZjE3NMVe9VtbNbQcibA","Cassidy",11,"2010-05-20",2010,3,1,0,0,NA,0,1,1,3.91,0,0,0,0,0,0,0,0,0,0,0,1,36,0,1,"2017-11-28",NA,"2017-11-28",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,80,0,1,0,0,0,1,0,"2017-06-23",NA,"2017-06-23",3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1710",2590,"045lA8joqI1vPm0wLgZPKw","Lori",313,"2009-01-05",2009,1178,735,981,1,2009,3,121,21,3.58,45,67,4,4,2,3,19,30,67,11,2,12,36.5,1,11,"2011-02-21","2011-03-07","2013-09-29",0,3.41666666666667,0.280917061899999,0.3612443329,0,0,0,0,0,0,4,1,7,0,0,0,0,0,15,614,0,15,0,2,7,4,2,"2009-01-06","2009-01-14","2011-03-13",3.86666666666667,0.381651000000005,0.323243835199996,0,0,0,0,10,4,1,0,0,0,0,0,0,0
"377",4983,"_3sotDWtZQG_4U8GagI53g","Judy",118,"2009-08-29",2009,209,61,91,1,2014,2,214,16,3.73,7,10,3,1,0,0,4,10,10,4,2,17,50,3,14,"2011-09-14","2011-09-14","2014-12-04",0,3.52941176470588,9.7242981436,8.59471660000001,0,0,0,0,0,0,3,0,1,13,0,0,0,0,4,426.5,0,4,0,0,1,2,1,"2013-10-31","2015-02-08","2015-06-12",3.125,1.5348357307,8.4148464749,0,0,0,0,0,0,0,0,1,0,3,0,0,0
"43",14111,"lD7FJBAGwfv1QYxOhmhmRg","Tim",727,"2010-07-25",2010,2212,667,1312,1,2011,8,360,43,3.78,21,58,2,1,3,1,22,44,58,44,8,1,42,0,1,"2011-12-28",NA,"2011-12-28",0,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,564,0,2,0,0,1,1,0,"2011-08-17","2017-12-15","2017-12-15",4,0.1212382808,0.0237857911999981,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"1954.3",16458,"oGBR461l8FR30W9MIXLuxw","Dede",12,"2010-09-12",2010,61,6,3,0,NA,0,17,0,4.08,1,2,1,0,0,0,3,2,2,0,0,2,19,0,2,"2010-09-19","2010-11-17","2010-11-17",0,3.75,0.0326088363999872,0.0286419779000013,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,132,0,2,0,0,0,0,2,"2010-09-13","2010-09-15","2010-09-15",3.25,0.265755900000002,0.074148000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0
